社区序号,社区名称,X坐标,Y坐标
1,胜阳港,68.75 ,49.00 
2,南京路,69.32 ,44.14 
3,钟楼,69.99 ,40.38 
4,湖滨路,61.74 ,44.32 
5,天桥,75.20 ,42.48 
6,海观山,64.83 ,52.23 
7,文化宫,64.53 ,45.80 
8,亚光,58.78 ,46.15 
9,红旗桥,57.68 ,52.83 
10,师院,47.72 ,60.13 
11,市建村,60.63 ,48.04 
12,凤凰山,35.89 ,56.82 
13,沈家营,55.52 ,62.30 
14,南岳,48.71 ,53.94 
15,王家里,51.59 ,60.15 
16,桂花湾,43.28 ,56.14 
17,楠竹林,14.50 ,55.26 
18,新闸,46.28 ,95.01 
19,大桥,43.61 ,81.74 
20,黄石港,45.59 ,75.65 
21,青山湖,45.94 ,70.30 
22,覆盆山,49.64 ,64.91 
23,纺织,42.30 ,75.25 
24,黄石印村,36.35 ,74.29 
25,延安岭,32.88 ,69.77 
26,万达,39.97 ,77.80 
27,大码头,31.04 ,83.08 
28,老虎头,27.92 ,73.98 
29,天虹,35.12 ,84.40 
30,锁前,16.69 ,80.76 
31,花湖,24.56 ,79.90 
32,天方,31.78 ,78.88 
